"","MSSubClass","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LandSlope","Neighborhood","Condition2","OverallQual","OverallCond","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","MiscVal","SaleType","SaleCondition","SalePrice","TotalSF","HouseAge","Remodeled","NewHouse","GarageAge","SoldInSummer"
"11","2StNew",75,10000,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",6,5,"CompShg","Bad","Bad","None",0,3,3,"PC",4,3,1,1,0,1,0,763,763,"GasA",4,"Y",5,763,892,0,1655,0,0,2,1,3,1,3,7,8,1,"TA","Good",3,2,440,3,3,3,157,84,0,0,0,0,0,"Old","Old",175900,2418,17,1,0,17,0
"12","1StNew",0,7980,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",6,7,"CompShg","Bad","Bad","None",0,3,4,"PC",4,3,1,5,935,1,0,233,1168,"GasA",5,"Y",5,1187,0,0,1187,1,0,2,0,3,1,3,6,8,0,"None","Good",3,2,420,3,3,3,483,21,0,0,0,0,500,"Old","Old",185000,2355,18,1,0,18,0
"13","2StNew",63,8402,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",6,5,"CompShg","Good","Good","None",0,3,3,"PC",4,3,1,1,0,1,0,789,789,"GasA",4,"Y",5,789,676,0,1465,0,0,2,1,3,1,3,7,8,1,"Gd","Good",3,2,393,3,3,3,0,75,0,0,0,0,0,"Old","Old",180400,2254,12,0,0,12,1
"14","1StNew",85,10176,"Pave",4,"Lvl","AllPub",3,"Gilbert","Norm",7,5,"CompShg","Bad","Bad","None",0,3,3,"PC",4,3,4,6,637,1,0,663,1300,"GasA",4,"Y",5,1341,0,0,1341,1,0,1,1,2,1,4,5,8,1,"Po","Good",1,2,506,3,3,3,192,0,0,0,0,0,0,"Old","Old",171500,2641,20,0,0,20,0
"15","PUDNew",0,6820,"Pave",3,"Lvl","AllPub",3,"StoneBr","Norm",8,5,"CompShg","Bad","Bad","None",0,4,3,"PC",4,3,3,6,368,4,1120,0,1488,"GasA",3,"Y",5,1502,0,0,1502,1,0,1,1,1,1,4,4,8,0,"None","Good",2,2,528,3,3,3,0,54,0,0,140,0,0,"Old","Old",212000,2990,25,0,0,25,1
"16","2StNew",47,53504,"Pave",2,"HLS","AllPub",2,"StoneBr","Norm",8,5,"CompShg","Good","Bad","BrkFace",603,5,3,"PC",4,3,4,5,1416,1,0,234,1650,"GasA",5,"Y",5,1690,1589,0,3279,1,0,3,1,4,1,5,12,5,1,"Gd","Good",3,3,841,3,3,3,503,36,0,0,210,0,0,"Old","Old",538000,4929,7,0,0,7,1
"17","1St",152,12134,"Pave",3,"Bnk","AllPub",2,"Gilbert","Norm",8,7,"CompShg","Bad","Bad","None",0,4,3,"Other",4,3,3,6,427,1,0,132,559,"GasA",4,"Y",5,1080,672,0,1752,0,0,2,0,4,1,3,8,8,0,"None","Bad",2,2,492,3,3,3,325,12,0,0,0,0,0,"Old","Old",164000,2311,22,1,0,22,1
"18","1StNew",88,11394,"Pave",4,"Lvl","AllPub",3,"StoneBr","Norm",9,2,"CompShg","Good","Good","Stone",350,4,3,"PC",5,3,3,6,1445,1,0,411,1856,"GasA",5,"Y",5,1856,0,0,1856,1,0,1,1,1,1,5,8,8,1,"Ex","Good",3,3,834,3,3,3,113,0,0,0,0,0,0,"New","New",394432,3712,0,0,1,1,1
"19","1StNew",140,19138,"Pave",4,"Lvl","AllPub",3,"Gilbert","Norm",4,5,"CompShg","Good","Good","None",0,3,3,"Other",3,3,1,2,120,1,0,744,864,"GasA",5,"Y",5,864,0,0,864,0,0,1,0,2,1,3,4,8,0,"None","Bad",1,2,400,3,3,3,0,0,0,0,0,0,0,"Old","Old",141000,1728,59,0,0,59,1
"20","1StNew",85,13175,"Pave",4,"Lvl","AllPub",3,"NWAmes","Norm",6,6,"CompShg","Bad","Bad","Stone",119,3,3,"Other",4,3,1,5,790,3,163,589,1542,"GasA",3,"Y",5,2073,0,0,2073,1,0,2,0,3,1,3,7,7,2,"TA","Good",1,2,500,3,3,3,349,0,0,0,0,0,0,"Old","Old",210000,3615,32,1,0,32,0
"21","1StNew",105,11751,"Pave",3,"Lvl","AllPub",3,"NWAmes","Norm",6,6,"CompShg","Bad","Bad","BrkFace",480,3,3,"Other",4,3,1,4,705,1,0,1139,1844,"GasA",5,"Y",5,1844,0,0,1844,0,0,2,0,3,1,3,7,8,1,"TA","Good",2,2,546,3,3,3,0,122,0,0,0,0,0,"Old","Old",190000,3688,33,0,0,33,0
"22","Split",85,10625,"Pave",4,"Lvl","AllPub",3,"NWAmes","Norm",7,6,"CompShg","Bad","Bad","BrkFace",81,3,3,"Other",4,3,4,6,885,2,168,0,1053,"GasA",3,"Y",5,1173,0,0,1173,1,0,2,0,3,1,4,6,8,2,"TA","Good",2,2,528,3,3,3,0,120,0,0,0,0,0,"Old","Old",170000,2226,36,0,0,36,0
"23","2StNew",0,7500,"Pave",4,"Lvl","AllPub",3,"Somerst","Norm",7,5,"CompShg","Good","Good","None",0,4,3,"PC",4,3,1,6,533,1,0,281,814,"GasA",5,"Y",5,814,860,0,1674,1,0,2,1,3,1,4,7,8,0,"None","Good",2,2,663,3,3,3,0,96,0,0,0,0,0,"Old","Old",216000,2488,10,0,0,10,0
"24","1StNew",0,11241,"Pave",3,"Lvl","AllPub",3,"NAmes","Norm",6,7,"CompShg","Bad","Bad","BrkFace",180,3,3,"Other",3,3,1,5,578,1,0,426,1004,"GasA",5,"Y",5,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,"TA","Good",3,2,480,3,3,3,0,0,0,0,0,0,700,"Old","Old",149000,2008,40,0,0,40,0
"25","1StNew",0,12537,"Pave",3,"Lvl","AllPub",3,"NAmes","Norm",5,6,"CompShg","Good","Good","None",0,3,3,"Other",3,3,1,6,734,1,0,344,1078,"GasA",5,"Y",5,1078,0,0,1078,1,0,1,1,3,1,3,6,8,1,"Fa","Good",3,2,500,3,3,3,0,0,0,0,0,0,0,"Old","Old",149900,2156,39,1,0,39,0
"26","1StNew",65,8450,"Pave",4,"Lvl","AllPub",3,"NAmes","Norm",5,6,"CompShg","Good","Good","None",0,3,3,"Other",3,3,1,4,775,1,0,281,1056,"GasA",5,"Y",5,1056,0,0,1056,1,0,1,0,3,1,3,6,8,1,"Fa","Good",1,1,304,3,3,3,0,85,184,0,0,0,0,"Old","Old",142000,2112,42,0,0,42,1
"27","1StNew",70,8400,"Pave",4,"Lvl","AllPub",3,"NAmes","Norm",4,5,"CompShg","Bad","Bad","None",0,3,3,"Other",3,3,1,5,804,3,78,0,882,"GasA",3,"Y",5,882,0,0,882,1,0,1,0,2,1,3,4,8,0,"None","Good",3,2,525,3,3,3,240,0,0,0,0,0,0,"Old","Old",126000,1764,40,0,0,40,0
"28","1StNew",70,10500,"Pave",4,"Lvl","AllPub",3,"NAmes","Norm",4,5,"CompShg","Bad","Bad","None",0,3,3,"Other",3,3,1,5,432,1,0,432,864,"GasA",3,"Y",5,864,0,0,864,0,0,1,0,3,1,3,5,8,1,"Po","None",0,0,0,0,0,3,0,0,0,0,0,0,0,"Old","Old",115000,1728,39,0,0,0,0
"29","PUDNew",26,5858,"Pave",3,"Lvl","AllPub",3,"NAmes","Norm",7,5,"CompShg","Bad","Bad","None",0,4,3,"PC",4,3,1,6,1051,4,0,354,1405,"GasA",5,"Y",5,1337,0,0,1337,1,0,2,0,2,1,4,5,8,1,"Fa","Good",3,2,511,3,3,3,203,68,0,0,0,0,0,"Old","Old",184000,2742,11,0,0,11,1
"30","PUD",21,1680,"Pave",4,"Lvl","AllPub",3,"BrDale","Norm",6,5,"CompShg","Bad","Bad","BrkFace",504,3,3,"Other",3,3,1,3,156,1,0,327,483,"GasA",3,"Y",5,483,504,0,987,0,0,1,1,2,1,3,5,8,0,"None","Bad",1,1,264,3,3,3,275,0,0,0,0,0,0,"Old","Old",96000,1470,39,0,0,39,0
"31","PUD",21,1680,"Pave",4,"Lvl","AllPub",3,"BrDale","Norm",5,5,"CompShg","Bad","Bad","BrkFace",492,3,3,"Other",3,3,1,3,300,1,0,225,525,"GasA",3,"Y",5,525,567,0,1092,0,0,1,1,3,1,3,6,8,0,"None","Bad",1,1,320,3,3,3,0,0,0,0,0,0,0,"Old","Old",105500,1617,39,0,0,13,0
"32","PUD",21,1680,"Pave",4,"Lvl","AllPub",3,"BrDale","Norm",6,5,"CompShg","Bad","Bad","BrkFace",381,3,3,"Other",3,3,1,1,0,1,0,525,525,"GasA",3,"Y",5,525,567,0,1092,0,0,1,1,3,1,3,6,8,0,"None","Bad",1,1,264,3,3,3,0,0,0,0,0,0,0,"Old","Old",88000,1617,39,0,0,39,0
"33","PUDNew",53,4043,"Pave",4,"Lvl","AllPub",3,"NPkVill","Norm",6,5,"CompShg","Bad","Bad","None",0,3,3,"Other",4,3,1,5,360,1,0,709,1069,"GasA",3,"Y",5,1069,0,0,1069,0,0,2,0,2,1,3,4,8,1,"Fa","Good",2,2,440,3,3,3,0,55,0,0,165,0,0,"Old","Old",127500,2138,33,0,0,33,1
"34","PUD",24,2280,"Pave",4,"Lvl","AllPub",3,"NPkVill","Norm",6,6,"CompShg","Bad","Bad","None",0,3,3,"Other",3,3,1,5,514,1,0,341,855,"GasA",3,"Y",5,855,601,0,1456,0,0,2,1,3,1,4,6,8,1,"TA","Good",1,2,440,3,3,3,173,0,0,0,0,0,0,"Old","Old",149900,2311,35,0,0,35,1
"35","PUDNew",24,2280,"Pave",4,"Lvl","AllPub",3,"NPkVill","Norm",7,6,"CompShg","Bad","Bad","None",0,3,3,"Other",4,3,1,1,0,1,0,836,836,"GasA",5,"Y",5,836,0,0,836,0,0,1,0,2,1,3,4,8,0,"None","Good",1,1,308,3,3,3,0,30,0,0,0,0,0,"Old","Old",120000,1672,35,0,0,35,1
"36","PUD",24,2280,"Pave",4,"Lvl","AllPub",3,"NPkVill","Norm",6,5,"CompShg","Bad","Bad","None",0,3,3,"Other",4,3,1,5,311,1,0,544,855,"GasA",2,"Y",5,855,601,0,1456,0,0,2,1,3,1,3,7,8,1,"TA","Good",1,2,440,3,3,3,26,0,0,0,0,0,0,"Old","Old",146000,2311,32,0,0,32,1
"37","2StNew",102,12858,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",9,5,"CompShg","Good","Good","Stone",162,5,3,"PC",5,3,1,1,0,1,0,1590,1590,"GasA",5,"Y",5,1627,707,0,2334,0,0,2,1,3,1,5,10,8,1,"Gd","Good",3,3,751,3,3,3,144,133,0,0,0,0,0,"New","New",376162,3924,1,1,0,1,0
"38","1StNew",98,11478,"Pave",4,"Lvl","AllPub",3,"NridgHt","Norm",8,5,"CompShg","Good","Good","Stone",200,4,3,"PC",5,3,1,6,1218,1,0,486,1704,"GasA",5,"Y",5,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,"Gd","Good",2,3,772,3,3,3,0,50,0,0,0,0,0,"Old","Old",306000,3408,3,1,0,2,1
"39","1StNew",83,10159,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",9,5,"CompShg","Good","Good","Stone",450,5,3,"PC",5,3,3,6,1646,1,0,284,1930,"GasA",5,"Y",5,1940,0,0,1940,1,0,2,1,3,1,5,8,8,1,"Gd","Good",3,3,606,3,3,3,168,95,0,0,0,0,0,"New","New",395192,3870,1,1,0,1,0
"40","1StNew",94,12883,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",8,5,"CompShg","Good","Good","Stone",256,4,3,"PC",4,3,1,1,0,1,0,1544,1544,"GasA",5,"Y",5,1544,0,0,1544,0,0,2,0,3,1,4,7,8,0,"None","Good",2,3,868,3,3,3,0,35,0,0,0,0,0,"New","New",290941,3088,1,1,0,1,1
"41","1StNew",95,12182,"Pave",4,"Lvl","AllPub",3,"NridgHt","Norm",7,5,"CompShg","Good","Good","BrkFace",226,4,3,"PC",4,3,2,4,1201,1,0,340,1541,"GasA",5,"Y",5,1541,0,0,1541,0,0,2,0,3,1,4,7,8,1,"Gd","Good",2,2,532,3,3,3,0,70,0,0,0,0,0,"New","New",220000,3082,5,0,0,5,1
"42","1StNew",90,11520,"Pave",4,"Lvl","AllPub",3,"NridgHt","Norm",9,5,"CompShg","Good","Good","BrkFace",615,4,3,"PC",5,3,1,6,110,1,0,1588,1698,"GasA",5,"Y",5,1698,0,0,1698,0,0,2,0,3,1,5,7,8,1,"Gd","Good",3,3,730,3,3,3,192,74,0,0,0,0,0,"Old","Old",275000,3396,5,0,0,5,1
"43","1StNew",79,14122,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",8,5,"CompShg","Good","Bad","BrkFace",240,4,3,"PC",5,3,1,6,28,1,0,1794,1822,"GasA",5,"Y",5,1822,0,0,1822,0,0,2,0,3,1,5,8,8,1,"Gd","Good",2,3,678,3,3,3,0,119,0,0,0,0,0,"Old","Old",259000,3644,5,1,0,5,0
"44","1StNew",70,10171,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",7,5,"CompShg","Good","Good","BrkFace",168,4,3,"PC",4,3,1,6,2,1,0,1515,1517,"GasA",5,"Y",5,1535,0,0,1535,0,0,2,0,3,1,4,7,8,0,"None","Good",2,2,532,3,3,3,0,0,0,0,0,0,0,"Old","Old",214000,3052,6,0,0,6,0
"45","1StNew",100,12919,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",9,5,"CompShg","Good","Good","Stone",760,5,3,"PC",5,3,4,6,2188,1,0,142,2330,"GasA",5,"Y",5,2364,0,0,2364,1,0,2,1,2,1,5,11,8,2,"Gd","Good",3,3,820,3,3,3,0,67,0,0,0,0,0,"New","New",611657,4694,1,1,0,1,0
"46","PUDNew",44,6371,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",7,5,"CompShg","Good","Good","Stone",128,4,3,"PC",4,3,2,6,733,1,0,625,1358,"GasA",5,"Y",5,1358,0,0,1358,1,0,2,0,2,1,4,6,8,1,"Gd","Good",2,2,484,3,3,3,192,35,0,0,0,0,0,"New","New",224000,2716,1,1,0,1,1
"47","1StNew",110,14300,"Pave",4,"HLS","AllPub",2,"NridgHt","Norm",9,5,"CompShg","Good","Good","BrkFace",1095,5,3,"PC",5,3,4,6,1373,1,0,1473,2846,"GasA",5,"Y",5,2696,0,0,2696,1,0,2,1,3,1,5,10,8,2,"Gd","Good",3,3,958,3,3,3,220,150,0,0,0,0,0,"Old","Old",500000,5542,7,1,0,7,1
"48","2StNew",105,13650,"Pave",4,"Lvl","AllPub",3,"NridgHt","Norm",8,5,"CompShg","Good","Good","BrkFace",232,4,3,"PC",4,3,4,6,578,1,0,1093,1671,"GasA",5,"Y",5,1687,563,0,2250,1,0,2,1,3,1,4,7,8,1,"Ex","Good",3,3,756,3,3,3,238,130,0,0,0,0,0,"Old","Old",320000,3921,8,0,0,8,1
"49","PUDNew",61,7658,"Pave",4,"Lvl","AllPub",3,"NridgHt","Norm",9,5,"CompShg","Bad","Bad","BrkFace",412,5,3,"PC",5,3,1,6,456,1,0,1296,1752,"GasA",5,"Y",5,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,"Gd","Good",2,2,576,3,3,3,196,82,0,0,0,0,0,"Old","Old",319900,3504,5,0,0,5,0
"50","PUDNew",41,7132,"Pave",3,"Lvl","AllPub",3,"NridgHt","Norm",8,5,"CompShg","Good","Good","Stone",178,4,3,"PC",4,3,2,6,24,1,0,1346,1370,"GasA",5,"Y",5,1370,0,0,1370,0,0,2,0,2,1,4,6,8,1,"Gd","Good",2,2,484,3,3,3,120,49,0,0,0,0,0,"Old","Old",205000,2740,4,0,0,4,0
"51","PUD",36,2628,"Pave",4,"Lvl","AllPub",3,"NridgHt","Norm",7,5,"CompShg","Good","Bad","Stone",106,4,3,"PC",4,3,1,1,0,1,0,764,764,"GasA",5,"Y",5,764,862,0,1626,0,0,2,1,2,1,4,6,8,0,"None","Good",2,2,474,3,3,3,0,27,0,0,0,0,0,"Old","Old",175500,2390,7,0,0,7,1
"52","1StNew",100,18494,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",6,5,"CompShg","Good","Good","None",0,4,3,"PC",4,3,1,1,0,1,0,1324,1324,"GasA",5,"Y",5,1324,0,0,1324,0,0,2,0,3,1,4,6,8,0,"None","Good",3,2,430,3,3,3,36,23,0,0,0,0,0,"Old","Old",199500,2648,5,0,0,5,0
"53","PUDNew",43,3203,"Pave",4,"Lvl","AllPub",3,"Blmngtn","Norm",7,5,"CompShg","Good","Good","BrkFace",14,4,3,"PC",4,3,3,6,16,1,0,1129,1145,"GasA",5,"Y",5,1145,0,0,1145,0,0,2,0,2,1,4,6,8,0,"None","Good",3,2,437,3,3,3,100,116,0,0,0,0,0,"Old","Old",160000,2290,4,0,0,4,0
"54","PUDNew",43,3182,"Pave",4,"Lvl","AllPub",3,"Blmngtn","Norm",8,5,"CompShg","Good","Good","BrkFace",16,4,3,"PC",4,3,1,6,24,1,0,1232,1256,"GasA",5,"Y",5,1269,0,0,1269,0,0,2,0,2,1,4,6,8,1,"TA","Good",3,2,430,3,3,3,146,20,0,0,144,0,0,"Old","Old",192000,2525,6,1,0,6,0
"55","Split",67,13300,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",7,5,"CompShg","Good","Good","None",0,4,3,"PC",4,3,1,6,326,1,0,58,384,"GasA",5,"Y",5,744,630,0,1374,1,0,2,1,3,1,4,7,8,1,"Gd","Good",3,2,400,3,3,3,100,0,0,0,0,0,0,"Old","Old",184500,1758,6,0,0,6,1
"56","2StNew",0,7851,"Pave",4,"Lvl","AllPub",3,"Gilbert","Norm",6,5,"CompShg","Good","Good","None",0,4,3,"PC",4,3,1,6,625,1,0,235,860,"GasA",5,"Y",5,860,1100,0,1960,1,0,2,1,4,1,4,8,8,2,"TA","Good",3,2,440,3,3,3,288,48,0,0,0,0,0,"Old","Old",216500,2820,8,0,0,8,1
"57","2StNew",63,8577,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",7,5,"CompShg","Good","Good","None",0,4,3,"PC",4,3,1,1,0,1,0,847,847,"GasA",5,"Y",5,847,886,0,1733,0,0,2,1,3,1,4,7,8,1,"Gd","Good",3,2,433,3,3,3,144,48,0,0,0,0,0,"Old","Old",185088,2580,6,0,0,6,0
"58","Split",0,7750,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",7,5,"CompShg","Good","Good","None",0,3,3,"PC",4,3,1,6,250,1,0,134,384,"GasA",5,"Y",5,774,656,0,1430,0,0,2,1,3,1,3,7,8,1,"TA","Good",3,2,400,3,3,3,180,0,0,0,0,0,0,"Old","Old",180000,1814,10,0,0,10,0
"59","2StNew",0,9505,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",7,5,"CompShg","Good","Good","BrkFace",180,4,3,"PC",4,3,1,1,0,1,0,884,884,"GasA",5,"Y",5,884,1151,0,2035,0,0,2,1,3,1,4,8,8,1,"Gd","Good",3,2,434,3,3,3,144,48,0,0,0,0,0,"Old","Old",222500,2919,9,0,0,9,1
"60","2StNew",108,14774,"Pave",3,"Lvl","AllPub",3,"NoRidge","Norm",9,5,"CompShg","Good","Good","BrkFace",165,4,3,"PC",4,3,1,1,0,1,0,1393,1393,"GasA",5,"Y",5,1422,1177,0,2599,0,0,2,1,4,1,4,10,8,1,"TA","Good",3,3,779,3,3,3,668,30,0,0,0,0,0,"Old","Old",333168,3992,11,0,0,11,1
"61","2StNew",60,17433,"Pave",2,"Lvl","AllPub",3,"NoRidge","Norm",8,5,"CompShg","Good","Good","BrkFace",114,4,3,"PC",5,3,1,1,0,1,0,1629,1629,"GasA",5,"Y",5,1645,830,0,2475,0,0,2,1,4,1,4,7,8,1,"TA","Good",3,3,962,3,3,3,23,172,0,0,256,0,0,"Old","Old",355000,4104,12,0,0,12,0
"62","1StNew",59,10593,"Pave",3,"Lvl","AllPub",3,"NoRidge","Norm",7,5,"CompShg","Good","Good","BrkFace",338,4,3,"PC",4,3,1,6,919,1,0,801,1720,"GasA",5,"Y",5,1720,0,0,1720,1,0,2,0,3,1,4,7,8,1,"TA","Good",3,2,527,3,3,3,240,56,154,0,0,0,0,"Old","Old",260400,3440,14,0,0,14,0
"63","2StNew",98,12256,"Pave",3,"Lvl","AllPub",3,"NoRidge","Norm",8,5,"CompShg","Bad","Bad","BrkFace",362,4,3,"PC",5,3,3,6,1032,1,0,431,1463,"GasA",5,"Y",5,1500,1122,0,2622,1,0,2,1,3,1,4,9,8,2,"TA","Good",2,2,712,3,3,3,186,32,0,0,0,0,0,"Old","Old",325000,4085,16,1,0,16,0
"64","2StNew",92,11764,"Pave",3,"Lvl","AllPub",3,"NoRidge","Norm",8,7,"CompShg","Good","Good","BrkFace",348,4,3,"PC",4,3,1,6,524,1,0,628,1152,"GasA",5,"Y",5,1164,1106,0,2270,0,0,2,1,4,1,4,9,8,1,"Gd","Good",3,3,671,3,3,3,132,57,0,0,0,0,0,"Old","Old",290000,3422,11,1,0,11,0
"65","2StNew",58,16770,"Pave",2,"Lvl","AllPub",3,"NoRidge","Norm",7,5,"CompShg","Good","Good","BrkFace",30,4,3,"PC",4,3,1,1,0,1,0,1195,1195,"GasA",4,"Y",5,1195,644,0,1839,0,0,2,1,4,1,3,7,8,0,"None","Good",3,2,486,3,3,3,0,81,0,0,0,0,0,"Old","Old",221000,3034,12,0,0,12,1
"66","1St",56,14720,"Pave",3,"Lvl","AllPub",3,"NoRidge","Norm",8,5,"CompShg","Good","Good","BrkFace",579,4,3,"PC",4,3,3,6,816,1,0,1217,2033,"GasA",5,"Y",5,2053,1185,0,3238,1,0,2,1,4,1,4,9,8,1,"Ex","Good",3,3,666,3,3,3,283,86,0,0,0,0,0,"Old","Old",410000,5271,15,1,0,14,0
"67","1StNew",73,8987,"Pave",4,"Lvl","AllPub",3,"Somerst","Norm",8,5,"CompShg","Good","Good","BrkFace",226,4,3,"PC",4,3,0,1,0,1,0,1595,1595,"GasA",5,"Y",5,1595,0,0,1595,0,0,2,0,2,1,4,6,8,1,"Gd","Good",2,3,880,3,3,3,144,0,0,0,0,0,0,"Old","Old",221500,3190,5,1,0,5,1
